id,name,ENTR,HIST,NSCI,TECH,ECMY,SSCI,HLTH,CSMR,GOVM,RELG,CULT,FOOD,SPRT,GEOG,ECOL,PPLE
324,"Academy Awards",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
639,"Alkane",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
691,"Articles of Confederation",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
869,"American Film Institute",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1365,"Ammonia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,"Australian Labor Party",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1585,"Alexander I of Epirus",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,"Alexis (poet)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2372,"ALF Tales",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3250,"Amblypoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4482,"Liberal Party (UK)",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4626,"Broadway (Manhattan)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5907,"Cheers",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8185,"Dejima",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8324,"Difference engine",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8935,"Detroit River",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11685,"Frasier",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13257,"Hydrocarbon",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14105,"Hanseatic League",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15915,"John Diefenbaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16800,"Kalmar Union",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17946,"Lake Erie",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
18201,"Lake Champlain",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
21032,"Mohism",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24507,"Pierre Trudeau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27068,"Sahara desert (ecoregion)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
30558,"Levellers",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
30795,"Thomas Paine",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
32524,"Batavia (1628 ship)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32525,"Amsterdam (1748)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34194,"Xenarthra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
34567,"15th century",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34625,"14th century",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37729,"Snowdonia",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
38174,"Avignon Papacy",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38387,"Lucia di Lammermoor",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39147,"Finite difference",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
39378,"Distance",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
39842,"Academy of Motion Picture Arts and Sciences",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
49076,"Airspeed Ltd.",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
49387,"Deep Blue (chess computer)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
50416,"Differential calculus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
53932,"Euclidean distance",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
57863,"Madison, Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
59367,"John Murray, 4th Earl of Dunmore",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
60154,"Mogadishu",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
60280,"Margaret Atwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
66440,"Our Lady of Guadalupe",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67171,"Placentalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
67306,"Harold Abrahams",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
68228,"Gottfried Benn",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
69955,"Hydrazine",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
