id,name,ENTR,HIST,NSCI,TECH,ECMY,SSCI,HLTH,CSMR,GOVM,RELG,CULT,FOOD,SPRT,GEOG,ECOL,PPLE
1915,"Antigen",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2268,"Chemistry of ascorbic acid",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,"The Birth of a Nation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
3382,"Britney Spears",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
6068,"Common Lisp",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9806,"Ellis Island",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
12891,"Gene therapy",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
15179,"Indira Gandhi",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15919,"John Wilkes Booth",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
20408,"Marie Curie",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
25740,"Robert E. Lee",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
26129,"Rajiv Gandhi",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28616,"Shotgun sequencing",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
31261,"Twinkle, Twinkle, Little Star",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36916,"Theotokos",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37225,"La Brabançonne",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39363,"Frederick I, Elector of Brandenburg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44514,"Mafikeng",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
45470,"Manhattan",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
45854,"Uffizi",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46215,"70 mm film",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
47363,"Council of Ephesus",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52626,"Dutch Republic",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57687,"Homestar Runner",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57851,"Columbia, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
58155,"Army of Northern Virginia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
61645,"Theodosius II",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63863,"Verilog",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
73488,"Frankenstein (1931 film)",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
73588,"Seventeen Provinces",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75451,"Cyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
77323,"John Brown (abolitionist)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
83390,"Arlington National Cemetery",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
88713,"Sirte District",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
90593,"Country rock",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
93845,"Der er et yndigt land",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93984,"Aelia Eudocia",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94581,"Morgan County, Missouri",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
94743,"Tate County, Mississippi",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
104526,"Anandamide",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
106833,"Bethel Heights, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
111912,"Alorton, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
111915,"Cahokia, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
111918,"Centreville, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
125205,"Logan Township, New Jersey",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
134563,"Cayce, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
134578,"West Columbia, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
143876,"America (My Country, 'Tis of Thee)",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144774,"Dr. Jekyll and Mr. Hyde (1931 film)",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
147418,"Paul Castellano",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
148731,"The Cat in the Hat",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155756,"The Amazing 3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156126,"Dwayne Johnson",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
160574,"God Save the Tsar!",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161321,"Brooklands",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
162984,"Rovaniemi",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
165918,"311 (band)",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
170259,"List of country rock musicians",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
171180,"Buskerud",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
172644,"Handedness",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
173787,"IMAX",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
177158,"Free Zone (Scientology)",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
178355,"Eide",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
178443,"Agdenes",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
178446,"Bjugn",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
178571,"Ballangen",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
178606,"Berg, Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
183350,"Ambidexterity",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
183950,"Kerogen",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
193365,"Maxwell Bodenheim",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
196476,"Private Snafu",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197273,"Stjerneborg",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203929,"Chuck E. Cheese",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
204114,"Benghazi",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
204582,"Battle of Five Forks",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
205966,"June Allyson",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
210677,"Central Park jogger case",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
215599,"William Burnet (physician)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
217172,"Blue Mountain College",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
224131,"Jan-Erik Enestam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
224148,"Cinerama",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
224622,"Workers' Party (Brazil)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
226509,"Hambletonian Stakes",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
227208,"Cane Pace",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
227840,"Kde domov můj",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232386,"Motor skill",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
249854,"Ampex",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
263716,"Chavo Guerrero Sr.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
266706,"Dudley",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
274590,"Nikolai Kardashev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
286001,"Lipolysis",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
286162,"Romanian Academy",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
290164,"1984 New York City Subway shooting",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
292101,"Church of Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
297277,"Peter Akinola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
302324,"Danny Thomas",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
302948,"Bella ciao",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
306281,"John Murrell (bandit)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
311735,"Operation Blue Star",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312567,"Jason Bonham",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
312593,"John Brown's Body",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
322801,"List of colleges and universities in the Philippines",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
327744,"MSX BASIC",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
328465,"Hatogaya, Saitama",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
328475,"Kamifukuoka, Saitama",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
329806,"Sleight of hand",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
335053,"Chris Dodd",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
345353,"Robin Russell, 14th Duke of Bedford",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
346700,"Pierre Cauchon",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
346939,"Carob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
358557,"Ma Normandie",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366555,"Biomolecule",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
375646,"Black Country Living Museum",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
379858,"Ô Canada! mon pays, mes amours",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380140,"Hackers: Heroes of the Computer Revolution",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
386766,"Jimmy Yang",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
389678,"Dudley Castle",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
390000,"Fast Product",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
391884,"Donington Park",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
393849,"Daniyal Akhmetov",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
402606,"University of Lapland",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
403293,"Chris Benoit",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
419037,"Wilford Woodruff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
423245,"Mengke Bateer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
432715,"J. B. M. Hertzog",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
435508,"Akebono Tarō",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
438722,"Treaty Oak (Austin, Texas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
438904,"Christian Cage",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
443676,"Duke of Lennox",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
453959,"HD 209458 b",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
457891,"Philip Abelson",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
459529,"Ray Alan",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
465673,"Anthem Records",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
466557,"Benet Academy",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
468063,"Algonquin Round Table",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
469479,"Jabal al Akhdar",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
469521,"Kufra District",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
469527,"Nuqat al Khams",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
469543,"Derna District",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
472272,"Don LaFontaine",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
