id,name,ENTR,HIST,NSCI,TECH,ECMY,SSCI,HLTH,CSMR,GOVM,RELG,CULT,FOOD,SPRT,GEOG,ECOL,PPLE
674,"Anatomy",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1537,"Acupuncture",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1845,"Alternative medicine",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1914,"Antimicrobial resistance",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2909,"Albinism in humans",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4191,"BCG vaccine",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8005,"Dentistry",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9059,"Dementia praecox",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11296,"First aid",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18957,"Medicine",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30919,"Triage",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
32653,"Vaccine",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
32654,"Veterinary medicine",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
52975,"Emergency medical services",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
55937,"Glossary of communication disorders",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
56345,"Glossary of diabetes",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
69149,"MMR vaccine",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
69719,"Band-Aid",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
80381,"Health",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
83877,"Enema",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
89198,"Alcohol dehydrogenase",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
146381,"Advanced cardiac life support",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
147473,"HIV vaccine development",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
166814,"Livor mortis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
166840,"Abdominal thrusts",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
224985,"Built environment",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
