id,name,ENTR,HIST,NSCI,TECH,ECMY,SSCI,HLTH,CSMR,GOVM,RELG,CULT,FOOD,SPRT,GEOG,ECOL,PPLE
656,"Acid",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
666,"Alkali metal",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
674,"Anatomy",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
898,"Antimony",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
899,"Actinium",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
900,"Americium",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
904,"Aluminium",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,"Alloy",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,"Atomic physics",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,"Atomic orbital",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,"Antimatter",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,"Antiparticle",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1573,"Albertus Magnus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,"Aloe",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1839,"Allotropy",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"Algebraic geometry",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,"Actinide",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2389,"Auger effect",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,"Analytical chemistry",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2787,"Astrobiology",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2844,"Atomic theory",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3038,"Acid–base reaction",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3747,"Bill Gates",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
3954,"Biochemistry",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4493,"Outline of biology",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4768,"Brit milah",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
4831,"Bohr model",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5180,"Chemistry",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,"Christianity",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5437,"Khmer architecture",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5636,"Chemist",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5659,"Chemical element",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5863,"Copenhagen interpretation",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6429,"Compact disc",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
6728,"Antisemitism in Christianity",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7445,"Classification of finite simple groups",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7593,"Calculator",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
7673,"Costume",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8200,"Timeline of chemical element discoveries",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8398,"Dimension",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8551,"David",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
